% The simulated data from the IoT environment
@RELATION CoojaData

@ATTRIBUTE src_bytes REAL
@ATTRIBUTE dst_bytes REAL
@ATTRIBUTE protocol_type {tcp, udp, icmpv6}
@ATTRIBUTE dio_count REAL
@ATTRIBUTE dao_count REAL
@ATTRIBUTE dis_count REAL
@ATTRIBUTE usrc_bytes REAL
@ATTRIBUTE udst_bytes REAL
@ATTRIBUTE class {normal, anomaly}

@DATA
0,0,udp,0,0,0,124,0,normal
0,0,udp,0,0,0,62,0,normal
0,0,udp,0,0,0,124,0,normal
0,0,udp,0,0,0,124,0,normal
0,0,udp,0,0,0,62,0,normal
0,0,udp,0,0,0,62,0,normal
0,0,udp,0,0,0,62,0,normal
0,0,udp,0,0,0,62,0,normal
0,0,udp,0,0,0,124,0,normal
0,0,udp,0,0,0,124,0,normal
0,0,udp,0,0,0,124,0,normal
0,0,udp,0,0,0,124,0,normal
0,0,udp,0,0,0,124,0,normal
0,0,udp,0,0,0,62,0,normal
0,0,udp,0,0,0,186,0,normal
0,0,udp,0,0,0,186,0,normal
0,0,udp,0,0,0,124,0,normal
0,0,udp,0,0,0,124,0,normal
0,0,udp,0,0,0,124,0,normal
0,0,udp,0,0,0,124,0,normal
0,0,udp,0,0,0,108,0,normal
0,0,udp,0,0,0,108,0,normal
0,0,udp,0,0,0,108,0,normal
0,0,udp,0,0,0,108,0,normal
0,0,udp,0,0,0,108,0,normal
0,0,udp,0,0,0,108,0,normal
0,0,udp,0,0,0,248,0,normal
0,0,udp,0,0,0,248,0,normal
0,0,udp,0,0,0,248,0,normal
0,0,udp,0,0,0,186,0,normal
0,0,udp,0,0,0,186,0,normal
0,0,udp,0,0,0,186,0,normal
0,0,udp,0,0,0,124,0,normal
0,0,udp,0,0,0,124,0,normal
0,0,udp,0,0,0,124,0,normal
0,0,udp,0,0,0,124,0,normal
0,0,udp,0,0,0,62,0,normal
0,0,udp,0,0,0,434,0,normal
0,0,udp,0,0,0,434,0,normal
0,0,udp,0,0,0,434,0,normal
0,0,udp,0,0,0,124,0,normal
0,0,udp,0,0,0,62,0,normal
0,0,udp,0,0,0,62,0,normal
0,0,udp,0,0,0,62,0,normal
0,0,udp,0,0,0,62,0,normal
0,0,udp,0,0,0,62,0,normal
0,0,udp,0,0,0,62,0,normal
0,0,udp,0,0,0,54,0,normal
0,0,udp,0,0,0,54,0,normal
0,0,udp,0,0,0,54,0,normal
0,0,udp,0,0,0,54,0,normal
0,0,udp,0,0,0,54,0,normal
0,0,udp,0,0,0,54,0,normal
0,0,udp,0,0,0,54,0,normal
0,0,udp,0,0,0,54,0,normal
0,0,udp,0,0,0,62,0,normal
0,0,udp,0,0,0,62,0,normal
0,0,udp,0,0,0,62,0,normal
0,0,udp,0,0,0,62,0,normal
0,0,udp,0,0,0,62,0,normal
0,0,udp,0,0,0,62,0,normal
0,0,udp,0,0,0,54,0,normal
0,0,udp,0,0,0,54,0,normal
0,0,udp,0,0,0,54,0,normal
0,0,udp,0,0,0,54,0,normal
0,0,udp,0,0,0,54,0,normal
0,0,udp,0,0,0,54,0,normal
0,0,udp,0,0,0,54,0,normal
0,0,udp,0,0,0,54,0,normal
0,0,udp,0,0,0,54,0,normal
0,0,udp,0,0,0,54,0,normal
0,0,udp,0,0,0,54,0,normal
0,0,udp,0,0,0,62,0,normal
0,0,udp,0,0,0,62,0,normal
0,0,udp,0,0,0,62,0,normal
0,0,udp,0,0,0,62,0,normal
0,0,udp,0,0,0,62,0,normal
0,0,udp,0,0,0,62,0,normal
0,0,udp,0,0,0,62,0,normal
0,0,udp,0,0,0,54,0,normal
0,0,udp,0,0,0,54,0,normal
0,0,udp,0,0,0,54,0,normal
0,0,udp,0,0,0,54,0,normal
0,0,udp,0,0,0,54,0,normal
0,0,udp,0,0,0,54,0,normal
0,0,udp,0,0,0,62,0,normal
0,0,udp,0,0,0,62,0,normal
0,0,udp,0,0,0,62,0,normal
0,0,udp,0,0,0,62,0,normal
0,0,udp,0,0,0,62,0,normal
0,0,udp,0,0,0,62,0,normal
0,0,udp,0,0,0,62,0,normal
0,0,udp,0,0,0,62,0,normal
0,0,udp,0,0,0,62,0,normal
0,0,udp,0,0,0,62,0,normal
0,0,udp,0,0,0,124,0,normal
0,0,udp,0,0,0,124,0,normal
0,0,udp,0,0,0,124,0,normal
0,0,udp,0,0,0,124,0,normal
0,0,udp,0,0,0,124,0,normal
0,0,udp,0,0,0,124,0,normal
0,0,udp,0,0,0,0,0,anomaly
0,0,udp,0,0,0,0,0,anomaly
0,0,udp,0,0,0,0,0,anomaly
0,0,udp,0,0,0,0,0,anomaly
0,0,udp,0,0,0,0,0,anomaly
0,0,udp,0,0,0,0,0,anomaly
0,0,udp,0,0,0,54,0,normal
0,0,udp,0,0,0,54,0,normal
0,0,udp,0,0,0,54,0,normal
0,0,udp,0,0,0,54,0,normal
0,0,udp,0,0,0,54,0,normal
0,0,udp,0,0,0,54,0,normal
0,0,udp,0,0,0,0,0,anomaly
0,0,udp,0,0,0,0,0,anomaly
0,0,udp,0,0,0,0,0,anomaly
0,0,udp,0,0,0,0,0,anomaly
0,0,udp,0,0,0,0,0,anomaly
0,0,udp,0,0,0,0,0,anomaly
0,0,udp,0,0,0,54,0,normal
0,0,udp,0,0,0,54,0,normal
0,0,udp,0,0,0,54,0,normal
0,0,udp,0,0,0,54,0,normal
0,0,udp,0,0,0,54,0,normal
0,0,udp,0,0,0,54,0,normal
0,0,udp,0,0,0,124,0,normal
0,0,udp,0,0,0,124,0,normal
0,0,udp,0,0,0,124,0,normal
0,0,udp,0,0,0,124,0,normal
0,0,udp,0,0,0,124,0,normal
0,0,udp,0,0,0,124,0,normal
0,0,udp,0,0,0,0,0,anomaly
0,0,udp,0,0,0,0,0,anomaly
0,0,udp,0,0,0,0,0,anomaly
0,0,udp,0,0,0,0,0,anomaly
0,0,udp,0,0,0,0,0,anomaly
0,0,udp,0,0,0,0,0,anomaly
200,0,icmpv6,0,4,0,0,0,normal
200,0,icmpv6,0,4,0,0,0,normal
200,0,icmpv6,0,4,0,0,0,normal
200,0,icmpv6,0,4,0,0,0,normal
200,0,icmpv6,0,4,0,0,0,normal
200,0,icmpv6,0,4,0,0,0,normal
200,0,icmpv6,0,4,0,0,0,normal
200,0,icmpv6,0,4,0,0,0,normal
200,0,icmpv6,0,4,0,0,0,normal
200,0,icmpv6,0,4,0,0,0,normal
200,0,icmpv6,0,4,0,0,0,normal
200,0,icmpv6,0,4,0,0,0,normal
50,0,icmpv6,0,1,0,0,0,normal
50,0,icmpv6,0,1,0,0,0,normal
50,0,icmpv6,0,1,0,0,0,normal
50,0,icmpv6,0,1,0,0,0,normal
50,0,icmpv6,0,1,0,0,0,normal
50,0,icmpv6,0,1,0,0,0,normal
0,0,udp,0,0,0,54,0,normal
0,0,udp,0,0,0,54,0,normal
0,0,udp,0,0,0,54,0,normal
0,0,udp,0,0,0,54,0,normal
0,0,udp,0,0,0,54,0,normal
0,0,udp,0,0,0,54,0,normal
0,0,udp,0,0,0,124,0,normal
0,0,udp,0,0,0,124,0,normal
0,0,udp,0,0,0,124,0,normal
0,0,udp,0,0,0,124,0,normal
0,0,udp,0,0,0,124,0,normal
0,0,udp,0,0,0,124,0,normal
